barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
55545,G1924/3039,Increments to Permanent Professional Officers.,A106,"Correspondence files, annual single number series with 'G' [General] prefix",1918 - 1925,1918,1925,Closed,Withheld pending adv,2012-07-16 00:00:00
140757,3034/2/2/2 PART 7,Indonesia. Communism in Indonesia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1962,1960,1962,Closed,33(1)(a) | 33(1)(b) | Withheld pending adv,2012-05-14 00:00:00
170962,41/301/176,[Title of item withheld],A816,"Correspondence files, multiple number series [Classified 301] [Main correspondence files series of the agency]",1952 - 1952,1952,1952,Closed,33(1)(a) | 33(1)(b) | Withheld pending adv,1988-08-29 00:00:00
199400,5/515/32 PART 2,"Guided Missiles - ""Seaslug"" Ship-to-Air. Part 2",A1196,"Correspondence files, multiple number series [Class 501] [501-539] [Classified] [Main correspondence files series of the agency]",1956 - 1958,1956,1958,Closed,Withheld pending adv,2016-07-01 00:00:00
199424,5/515/148,Armament Research and Development - guided weapons - UK organisation and establishment.,A1196,"Correspondence files, multiple number series [Class 501] [501-539] [Classified] [Main correspondence files series of the agency]",1957 - 1959,1957,1959,Closed,Withheld pending adv,2014-11-06 00:00:00
200647,36/501/729 PART 2,RAAF Component of the Strategic Reserve- Execution of Policy. (Equipment Aspects).,A1196,"Correspondence files, multiple number series [Class 501] [501-539] [Classified] [Main correspondence files series of the agency]",1958 - 1958,1958,1958,Closed,Withheld pending adv,2016-11-02 00:00:00
200648,36/501/729 PART 3,RAAF Component Strategic Reserve. (Execution of Policy) Equipment Aspects. Part 3.,A1196,"Correspondence files, multiple number series [Class 501] [501-539] [Classified] [Main correspondence files series of the agency]",1958 - 1959,1958,1959,Closed,Withheld pending adv,2016-11-02 00:00:00
200654,36/501/752,Fighter Effectiveness A R L Study Comparison of Interception.,A1196,"Correspondence files, multiple number series [Class 501] [501-539] [Classified] [Main correspondence files series of the agency]",1958 - 1959,1958,1959,Closed,Withheld pending adv,2016-07-21 00:00:00
248087,270/2/12/1,"ANZUS Treaty - 12th Meeting Arrangements, Date, Representation etc.",A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1963 - 1963,1963,1963,Closed,Withheld pending adv,2017-01-06 00:00:00
248088,270/2/12/2 PART 1,"ANZUS Treaty - 12th Meeting Agenda, Brief, Proceedings, Report.",A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1963 - 1963,1963,1963,Closed,Withheld pending adv,2016-09-29 00:00:00
271461,69/1/3/7 PART 2,USSR Relations with Australia Activities of Australian Communist Party,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1963 - 1964,1963,1964,Closed,Withheld pending adv,2011-11-01 00:00:00
271686,33/1/5/1 PART 3,Hungary UN Special Committee on Hungary,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1957 - 1957,1957,1957,Closed,Withheld pending adv,2015-05-06 00:00:00
271776,80/1/3/3/11,Europe - Sir Alan Watt's Tour 1962,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1962 - 1964,1962,1964,Closed,Withheld pending adv,2012-02-13 00:00:00
272002,TS383/6/5,Voyage of the TIKI - Top Secret documents,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1952 - 1952,1952,1952,Closed,Withheld pending adv,2017-03-20 00:00:00
273110,169/12/5 PART 1,India. Aid to India,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1962 - 1962,1962,1962,Closed,Withheld pending adv,2014-12-11 00:00:00
273111,169/12 PART 2,India-Defence,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1964,1960,1964,Closed,Withheld pending adv,2014-12-08 00:00:00
273160,169/11/52 PART 3,India - Foreign Policy - Relations with USSR [Union of Soviet Socialist Republics],A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1955 - 1957,1955,1957,Closed,Withheld pending adv,2012-07-31 00:00:00
273209,169/10/2,India - Relations with Australia - Economic [3cms],A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1951 - 1973,1951,1973,Closed,Withheld pending adv,2011-07-05 00:00:00
273217,169/11/87 PART 8,India Relations with China,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1960,1960,1960,Closed,Withheld pending adv,2015-11-30 00:00:00
273218,169/11/87 PART 9,India Relations with China,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1960,1960,1960,Closed,Withheld pending adv,2016-05-25 00:00:00
273271,162/11/52 PART 1,Congo. Relations with Other Countries - USSR,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1960,1960,1960,Closed,Withheld pending adv,2011-11-29 00:00:00
273272,162/11/73 PART 2,Congo. Relations with Other Countries. Congo - Belgium,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1961,1960,1961,Closed,Withheld pending adv,2011-11-29 00:00:00
273274,162/11/73 PART 1,Congo. Relations with Other Countries - Congo - Belgium,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1960,1960,1960,Closed,Withheld pending adv,2011-12-01 00:00:00
273430,160/2/1 PART 9,Ceylon - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1961 - 1962,1961,1962,Closed,Withheld pending adv,2017-03-22 00:00:00
273431,160/2/1 PART 10,Ceylon - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1961 - 1962,1961,1962,Closed,Withheld pending adv,2017-03-21 00:00:00
273432,160/2/1 PART 11,Ceylon - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1961 - 1964,1961,1964,Closed,Withheld pending adv,2017-03-21 00:00:00
273441,162/2/1 PART 3,Congo - Political General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1960,1960,1960,Closed,Withheld pending adv,2011-12-02 00:00:00
273470,160/2/1 PART 8,Ceylon - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1960,1960,1960,Closed,Withheld pending adv,2017-03-21 00:00:00
277191,S250793,Non-British European Migration from China Part 6,A6980,"Secret correspondence files, single number series with block allocations and 'S' [Secret] prefix",1968 - 1979,1968,1979,Closed,Withheld pending adv,2010-08-04 00:00:00
279665,169/12/5 PART 9,India - Defence Military Aid,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1964 - 1964,1964,1964,Closed,Withheld pending adv,2015-02-11 00:00:00
279666,169/12/5 PART 10,India - Defence Military Aid,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1964 - 1964,1964,1964,Closed,Withheld pending adv,2015-02-13 00:00:00
279966,3125/11/161 PART 2,North Korea - Relations with the USA,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1968 - 1968,1968,1968,Closed,Withheld pending adv,2017-02-03 00:00:00
